LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Ñîãðèí;2c8/m17_big.jpg;Äàíèëà;Âèòàëèåâè÷;ìåíåäæåð;d.sogrin@example.com;10.02.1978;M;8 (495) 546-78-12;11;8 (495) 546-66-78;564-657-543;d.sogrin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Äåäêîâ;99f/3b.jpg;Äìèòðèé;Àíàòîëüåâè÷;ìàðêåòîëîã;d.dedkov@example.com;10.03.1975;M;8 (495) 912-67-29;11;8 (495) 410-62-09;318-469-396;d.dedkov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë Public Relation;
Ðàõìàíèíîâ;164/42-17884084.gif;Èãîðü;Ãåîðãèåâè÷;ìåíåäæåð;i.rahmaninov@example.com;11.02.1968;M;8 (495) 564-11-21;15;8 (495) 967-26-56;564-450-556;i.rahmaninov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Êàñüÿíåíêî;75d/1b.jpg;Þëèÿ;Èâàíîâíà;ìàðêåòîëîã;yu.kasyanenko@example.com;11.03.1980;F;8 (495) 401-78-73;82;8 (495) 290-56-29;104-982-486;yu.kasyanenko;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë Public Relation;
Íåäîêó÷àåâ;5b8/42-17924856.gif;Òèõîí;Ïåòðîâè÷;ìåíåäæåð;t.nedokuchaev@example.com;12.02.1983;M;8 (495) 435-68-56;16;8 (495) 767-32-43;675-345-233;t.nedokuchaev;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Äåìüÿíîâ;030/19b.jpg;Åãîð;Àëåêñàíäðîâè÷;ìàðêåòîëîã;e.demyanov@example.com;12.03.1976;M;8 (495) 732-56-30;90;8 (495) 865-25-76;610-750-539;e.demyanov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë Public Relation;
Êàðïóõèíà;ef2/42-17751561.gif;Êñåíèÿ;Âàëåðèåâíà;ìåíåäæåð;k.karpuhina@example.com;13.02.1979;F;8 (495) 564-65-34;23;8 (495) 546-45-45;453-566-453;k.karpuhina;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Àáðàìöåâ;012/42-17942495.gif;Àëåêñàíäð;Íèêîëàåâè÷;ìåíåäæåð;a.abramcev@example.com;14.02.1976;M;8 (495) 453-77-66;453;8 (495) 879-54-38;345-234-112;a.abramcev;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Âåðåèòèíîâ;3d6/m21_big.jpg;Êèðèëë;Ëåîíèäîâè÷;ìåíåäæåð;k.vereitinov@example.com;15.02.1982;M;8 (495) 435-67-45;76;8 (495) 675-46-23;342-567-234;k.vereitinov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Ðàñ÷åòíî-ñåðâèñíûé öåíòð;
Äåðÿáèí;e4f/m22_big.jpg;Èãîðü;Âÿ÷åñëàâîâè÷;ìåíåäæåð;i.deryabin@example.com;16.02.1981;M;8 (495) 856-24-34;39;8 (495) 543-87-32;;i.deryabin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Ðàñ÷åòíî-ñåðâèñíûé öåíòð;
Äóáðîâñêèé;981/man5b.jpg;Àëåêñåé;Äìèòðèåâè÷;ìåíåäæåð ïî ðåêëàìå;a.dubrovskij@example.com;13.03.1979;M;8 (495) 405-63-75;58;8 (495) 731-67-96;472-523-965;a.dubrovskij;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë ðåêëàìû;
Ïåòðóøåíêîâà;18b/42-17933622.gif;Åâãåíèÿ;Áîðèñîâíà;ìåíåäæåð;e.petrushenkova@example.com;17.02.1983;F;8 (495) 564-66-23;623;8 (495) 945-25-45;;e.petrushenkova;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Ðàñ÷åòíî-ñåðâèñíûé öåíòð;
Æåðèêîâ;a3c/42-17611981.gif;Àíäðåé;Âàëåðüåâè÷;ìåíåäæåð ïî ðåêëàìå;a.zherikov@example.com;14.03.1976;M;8 (495) 310-94-68;25;8 (495) 958-98-04;471-686-464;a.zherikov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë ðåêëàìû;
Ïóïûøåâ;2bb/42-17949408.gif;Âàñèëèé;Àëåêñååâè÷;ìåíåäæåð;v.pupyshev@example.com;18.02.1987;M;8 (495) 342-65-56;27;8 (495) 342-65-87;342-546-876;v.pupyshev;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Ðàñ÷åòíî-ñåðâèñíûé öåíòð;
Êîíÿõèíà;aaf/4b.jpg;Ñâåòëàíà;Åâãåíüåâíà;ìåíåäæåð ïî ðåêëàìå;s.konyahina@example.com;15.03.1974;F;8 (495) 812-67-04;26;8 (495) 623-87-48;404-792-334;s.konyahina;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë ðåêëàìû;
Çâåíêîâ;2bf/7b.jpg;Äìèòðèé;Ñåðãååâè÷;ìåíåäæåð ïî ðåêëàìå;d.zvenkov@example.com;16.03.1961;M;8 (495) 938-34-73;73;8 (495) 504-55-66;870-357-295;d.zvenkov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë ðåêëàìû;
Òàëîâåðîâ;e39/man3_big.jpg;Òèìîôåé;Òèìîôååâè÷;ìåíåäæåð;t.taloverov@example.com;19.02.1981;M;8 (495) 345-74-23;765;8 (495) 346-32-12;234-565-122;t.taloverov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Ðàñ÷åòíî-ñåðâèñíûé öåíòð;
Êîðíåâà;d4b/3b.jpg;Âèêòîðèÿ;Àíäðååâíà;ìåíåäæåð ïî ðåêëàìå;v.korneva@example.com;17.03.1969;F;8 (495) 946-89-78;74;8 (495) 643-78-34;358-743-678;v.korneva;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë ðåêëàìû;
Èâàíîâ;f17/8b.jpg;Êèðèëë;Âëàäèìèðîâè÷;þðèñò;k.ivanov@example.com;18.03.1965;M;8 (495) 721-87-43;91;8 (495) 853-78-37;656-664-389;k.ivanov;Ïåòåðáóðãñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Êàïëóí;d6f/9b.jpg;Àðñåíèé;Áîðèñîâè÷;þðèñò;a.kaplun@example.com;19.03.1963;M;8 (495) 406-74-29;61;8 (495) 659-45-83;845-447-386;a.kaplun;Ïåòåðáóðãñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Êàðöåâ;987/10b.jpg;Êîíñòàíòèí;Àëåêñàíäðîâè÷;þðèñò;k.karcev@example.com;20.03.1965;M;8 (495) 679-49-20;75;8 (495) 611-85-84;436-520-561;k.karcev;Ïåòåðáóðãñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Êà÷àëèí;9e5/11b.jpg;Àëåêñåé;Èãîðåâè÷;þðèñò;a.kachalin@example.com;21.03.1973;M;8 (495) 902-67-93;62;8 (495) 731-67-67;421-378-530;a.kachalin;Ïåòåðáóðãñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Êèòîâ;10b/12b.jpg;Âèêòîð;Âëàäèìèðîâè÷;þðèñò-êîíñóëüòàíò;v.kitov@example.com;22.03.1978;M;8 (495) 368-46-75;64;8 (495) 359-47-86;432-448-287;v.kitov;Ïåòåðáóðãñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Ùåêîòóðîâ;2c4/man_big.jpg;Äìèòðèé;Äìèòðèåâè÷;ìåíåäæåð;d.schekoturov@example.com;20.02.1982;M;8 (495) 456-23-76;38;8 (495) 567-32-43;564-234-898;d.schekoturov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Ðàñ÷åòíî-ñåðâèñíûé öåíòð;
Êëèíîâ;198/13b.jpg;Ìàêñèì;Ñåðãååâè÷;îõðàííèê;m.klinov@example.com;23.03.1976;M;8 (495) 644-65-38;77;8 (495) 459-65-34;437-548-826;m.klinov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ñëóæáû áåçîïàñíîñòè;;
Êëþ÷íèêîâ;b05/14b.jpg;Âÿ÷åñëàâ;Îëåãîâè÷;îõðàííèê;v.klyuchnikov@example.com;24.03.1975;M;8 (495) 701-76-23;83;8 (495) 499-38-54;598-322-329;v.klyuchnikov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ñëóæáû áåçîïàñíîñòè;;
Êîáèàøâèëè;132/17b.jpg;Èîñèô;Ðàôàýëüåâè÷;îõðàííèê;i.kobiashvili@example.com;25.03.1979;M;8 (495) 305-58-93;84;8 (495) 568-26-28;393-398-095;i.kobiashvili;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ñëóæáû áåçîïàñíîñòè;;
Êîâàëåâ;925/15b.jpg;Þðèé;Àëåêñàíäðîâè÷;îõðàííèê;yu.kovalev@example.com;26.03.1979;M;8 (495) 958-86-62;78;8 (495) 743-76-33;653-653-157;yu.kovalev;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ñëóæáû áåçîïàñíîñòè;;
Êîíäðàòüåâ;0a1/20b.jpg;Âëàäèìèð;ßðîñëàâîâè÷;äèðåêòîð;v.kondratev@example.com;27.03.1967;M;8 (495) 533-54-28;1;8 (495) 543-83-53;657-652-422;v.kondratev;Ïåòåðáóðãñêèé ôèëèàë;Àäìèíèñòðàöèÿ;;
Êîðíèåíêî;51c/23b.jpg;Ìèõàèë;Þðüåâè÷;çàìåñòèòåëü äèðåêòîðà;m.kornienko@example.com;28.03.1963;M;8 (495) 632-56-28;2;8 (495) 432-93-85;432-854-748;m.kornienko;Ïåòåðáóðãñêèé ôèëèàë;Àäìèíèñòðàöèÿ;;
Êîðîáêîâà;71d/5b.jpg;Ñâåòëàíà;Âèêòîðîâíà;ìåíåäæåð ïî ðàçâèòèþ;s.korobkova@example.com;29.03.1979;F;8 (495) 429-98-82;79;8 (495) 536-65-34;456-943-933;s.korobkova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Îòäåë ñòðàòåãè÷åñêîãî ïëàíèðîâàíèÿ;
Êóëåøîâà;ef1/9b.jpg;Ìàðèÿ;Èãîðåâíà;ìåíåäæåð ïî ðàçâèòèþ;m.kuleshova@example.com;30.03.1980;F;8 (495) 843-96-32;49;8 (495) 633-58-54;455-437-765;m.kuleshova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Îòäåë ñòðàòåãè÷åñêîãî ïëàíèðîâàíèÿ;
Ìàêñèìîâà;d8c/11b.jpg;Åëåíà;Âàñèëüåâíà;ýêñïåðò;e.maksimova@example.com;01.04.1983;F;8 (495) 532-28-83;86;8 (495) 235-68-09;235-736-195;e.maksimova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Ýêñïåðòíûé îòäåë;
Ìàðàâèíà;def/10b.jpg;Òàòüÿíà;Àëåêñàíäðîâíà;íà÷àëüíèê îòäåëà;t.maravina@example.com;02.04.1960;F;8 (495) 320-34-28;93;8 (495) 367-93-93;304-679-851;t.maravina;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Ýêñïåðòíûé îòäåë;
Ìàòâèåíêî;bfe/12b.jpg;Åêàòåðèíà;Àíäðååâíà;ìåíåäæåð;e.matvienko@example.com;03.04.1976;F;8 (495) 433-99-93;87;8 (495) 389-23-75;524-855-876;e.matvienko;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Ìàòóñåâè÷;784/17b.jpg;Îëüãà;Âèêòîðîâíà;ìåíåäæåð;o.matusevich@example.com;04.04.1976;F;8 (495) 328-98-73;95;8 (495) 366-75-54;646-574-744;o.matusevich;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Ìåäâåäåâà;141/22b.jpg;Ìàðèÿ;Þðüåâíà;ìåíåäæåð;m.medvedeva@example.com;05.04.1976;F;8 (495) 239-98-95;88;8 (495) 345-54-60;363-878-267;m.medvedeva;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Ìåíüøèêîâà;f3d/13b.jpg;Àííà;Âëàäèìèðîâíà;ìåíåäæåð;a.menshikova@example.com;06.04.1962;F;8 (495) 345-53-54;65;8 (495) 256-57-77;435-865-467;a.menshikova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Ìîðãóíîâà;f36/14b.jpg;Èííà;Þðüåâíà;ìåíåäæåð;i.morgunova@example.com;07.04.1969;F;8 (495) 267-86-33;27;8 (495) 346-78-77;648-685-124;i.morgunova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Ìóñàòîâà;7fe/15b.jpg;Åëåíà;Èãîðåâíà;ìåíåäæåð;e.musatova@example.com;08.04.1975;F;8 (495) 432-66-89;94;8 (495) 463-97-77;765-690-866;e.musatova;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Îòäåë ôèíàíñîâîãî ïëàíèðîâàíèÿ;
Ïàðàìîíîâà;de6/16b.jpg;Äàðüÿ;Àëåêñàíäðîâíà;ñîòðóäíèê call center;d.paramonova@example.com;09.04.1972;F;8 (495) 456-54-53;48;8 (495) 256-76-66;235-853-754;d.paramonova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Õàðüêîâà;ba7/18b.jpg;Èðèíà;Èâàíîâíà;ñîòðóäíèê call center;i.harkova@example.com;10.04.1980;F;8 (495) 566-54-44;87;8 (495) 467-85-64;432-167-398;i.harkova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Öàðåâà;958/19b.jpg;Åâãåíèÿ;Àëåêñàíäðîâíà;ñîòðóäíèê call center;e.careva@example.com;11.04.1980;F;8 (495) 580-98-76;89;8 (495) 647-48-44;754-559-965;e.careva;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Øàðîâà;d81/20b.jpg;Ìàðèÿ;Ñåðãååâíà;ñîòðóäíèê call center;m.sharova@example.com;12.04.1981;F;8 (495) 135-55-83;96;8 (495) 347-52-62;439-391-911;m.sharova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Øåâöîâà;f57/21lb.jpg;Èðèíà;Ãåííàäüåâíà;ñîòðóäíèê call center;i.shevcova@example.com;13.10.1980;F;8 (495) 156-844-588;566;8 (495) 146-65-44;526-522-239;i.shevcova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Øêàëåâà;257/22b.jpg;Åêàòåðèíà;Ñåðãååâíà;ñîòðóäíèê call center;e.shkaleva@example.com;14.04.1980;F;8 (495) 984-87-98;125;8 (495) 269-84-53;366-844-743;e.shkaleva;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Ñòåïàíîâà;6d7/23b.jpg;Ìàðèíà;Àëåêñååâíà;ñïåöèàëèñò;m.stepanova@example.com;15.04.1980;F;8 (495) 873-89-49;679;8 (495) 230-96-69;429-289-296;m.stepanova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Òèòîâà;e20/24b.jpg;Åêàòèðèíà;Ëüâîâíà;ñïåöèàëèñò;e.titova@example.com;16.04.1980;F;8 (495) 267-72-16;759;8 (495) 451-45-90;256-448-444;e.titova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Óêëàäîâà;188/25b.jpg;Àëåêñàíäðà;Âëàäèìèðîâíà;ñïåöèàëèñò;a.ukladova@example.com;17.04.1982;F;8 (495) 566-54-67;950;8 (495) 426-87-89;426-673-633;a.ukladova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Ôåäóëîâà;d3a/26b.jpg;Èðèíà;Àëåêñàíäðîâíà;ñïåöèàëèñò;i.fedulova@example.com;18.04.1979;F;8 (495) 456-58-79;900;8 (495) 267-62-62;457-598-428;i.fedulova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Ñòàðîâîéòîâà;7a3/27b.jpg;Åëåíà;Èâàíîâíà;ñïåöèàëèñò;e.starovojtova@example.com;19.04.1980;F;8 (495) 975-22-54;678;8 (495) 744-85-33;435-933-622;e.starovojtova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Ñåìàêèíà;5dc/28b.jpg;Ãàëèíà;Åâãåíüåâíà;ñïåöèàëèñò;g.semakina@example.com;20.04.1980;F;8 (495) 843-56-38;645;8 (495) 442-709-49;356-856-844;g.semakina;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Ïåðåëûãèíà;446/29b.jpg;Åâãåíèÿ;Ìèõàéëîâíà;ñïåöèàëèñò;e.perelygina@example.com;21.04.1980;F;8 (495) 545-55-62;679;8 (495) 435-768-62;367-363-567;e.perelygina;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Ïåòðåíêî;66a/32b.jpg;Äàðüÿ;Ñåðãååâíà;ñïåöèàëèñò;d.petrenko@example.com;22.04.1980;F;8 (495) 239-52-39;984;8 (495) 653-64-76;568-569-853;d.petrenko;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Ïåòðîâöåâà;8bf/33b.jpg;Ìàðèÿ;Àëåêñàíäðîâíà;ñïåöèàëèñò;m.petrovceva@example.com;23.04.1980;F;8 (495) 456-67-87;890;8 (495) 542-83-56;843-332-822;m.petrovceva;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Ïóøêèíà;12b/30b.jpg;Åëèçàâåòà;Þðüåâíà;þðèñò;e.pushkina@example.com;24.04.1968;F;8 (495) 543-63-52;367;8 (495) 238-43-23;;e.pushkina;Ïåòåðáóðãñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Ðåâèíà;c93/31b.jpg;Ìàðèÿ;Ñåðãååâíà;þðèñò;m.revina@example.com;25.04.1976;F;8 (495) 337-23-42;690;8 (495) 289-44-84;238-289-328;m.revina;Ïåòåðáóðãñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Êîñòåíêî;ff7/21b.jpg;Áîðèñ;Áîðèñîâè÷;îõðàííèê;b.kostenko@example.com;26.04.1978;M;8 (495) 438-28-32;332;8 (495) 289-22-38;156-229-178;b.kostenko;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ñëóæáû áåçîïàñíîñòè;;
Êîòèê;c14/25b.jpg;Ñåðãåé;Âèòàëüåâè÷;îõðàííèê;s.kotik@example.com;27.04.1980;M;8 (495) 330-32-31;399;8 (495) 562-52-78;320-841-218;s.kotik;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ñëóæáû áåçîïàñíîñòè;;
Þëäàøåâ;3c7/1.jpg;Ïåòð;Òèìîôååâè÷;ìåíåäæåð;p.yuldashev@example.com;21.02.1980;M;8 (495) 342-56-45;94;8 (495) 453-57-23;123-432-123;p.yuldashev;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë èíôîðìàöèîííî-óïðàâëÿþùèõ ñèñòåì;
Ãëàäûøåâ;81e/2.jpg;Êîíñòàíòèí;Èâàíîâè÷;ìåíåäæåð;k.gladyshev@example.com;22.02.1983;M;8 (495) 342-54-56;65;8 (495) 237-65-54;375-760-4456;k.gladyshev;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë èíôîðìàöèîííî-óïðàâëÿþùèõ ñèñòåì;
Áàäûãèí;966/42-17195835.gif;Îëåã;Ëüâîâè÷;ìåíåäæåð;o.badygin@example.com;23.02.1976;M;8 (495) 473-45-23;43;8 (495) 345-23-14;439-54-261;o.badygin;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë èíôîðìàöèîííî-óïðàâëÿþùèõ ñèñòåì;
Íàõàáèí;f28/4.jpg;Èëüÿ;Âëàäèìèðîâè÷;ìåíåäæåð;i.nahabin@example.com;24.02.1980;M;8 (495) 652-43-64;46;8 (495) 274-45-32;675-143-866;i.nahabin;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë èíôîðìàöèîííî-óïðàâëÿþùèõ ñèñòåì;
Ðåïíèí;1ae/5.jpg;Ëåâ;Åãîðîâè÷;ìåíåäæåð;l.repnin@example.com;25.02.1983;M;8 (495) 274-65-32;68;8 (495) 675-43-32;435-645-132;l.repnin;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë èíôîðìàöèîííî-óïðàâëÿþùèõ ñèñòåì;
Ñàìîõèíà;c1a/0000350851-005.jpg;Êñåíèÿ;Ãðèãîðèåâíà;ìåíåäæåð;k.samohina@example.com;26.02.1983;F;8 (495) 435-67-92;32;8 (495) 384-35-53;432-645-132;k.samohina;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë èíôîðìàöèîííî-óïðàâëÿþùèõ ñèñòåì;
Ïåòþíèíà;8ff/AX049682.jpg;Çîÿ;Âèêòîðîâíà;ìåíåäæåð;z.petyunina@example.com;27.02.1979;F;8 (495) 687-13-67;65;8 (495) 257-12-65;653-275;z.petyunina;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë íîâûõ ïêñ-òåõíîëîãèé;
Ìèøêèíà;f19/AX061622.jpg;Íàòàëèÿ;Åâãåíèåâíà;ìåíåäæåð;n.mishkina@example.com;28.02.1984;F;8 (495) 267-12-68;72;8 (495) 724-23-86;432-457-324;n.mishkina;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë íîâûõ ïêñ-òåõíîëîãèé;
Çàáðîäèí;120/6.jpg;Àðêàäèé;Íèêîëàåâè÷;ìåíåäæåð;a.zabrodin@example.com;01.03.1983;M;8 (495) 835-32-78;89;8 (495) 265-56-35;247-346-306;a.zabrodin;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë íîâûõ ïêñ-òåõíîëîãèé;
Ñåðåáðåííèêîâ;59f/7.jpg;Àíäðåé;Òèõîíîâè÷;ìåíåäæåð;a.serebrennikov@example.com;01.03.1981;M;8 (495) 264-43-13;49;8 (495) 164-45-26;453-345-382;a.serebrennikov;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë íîâûõ ïêñ-òåõíîëîãèé;
ßí÷åâñêèé;92a/8.jpg;Àëåêñåé;Åâãåíèåâè÷;ìåíåäæåð;a.yanchevskij@example.com;02.03.1997;M;8 (495) 635-64-12;69;8 (495) 263-78-23;264-873;a.yanchevskij;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë íîâûõ ïêñ-òåõíîëîãèé;
Âûãîòñêèé;25e/9.jpg;Âèêòîð;Áîðèñîâè÷;ìåíåäæåð;v.vygotskij@example.com;03.03.1985;M;8 (495) 274-45-12;29;8 (495) 164-43-68;374-854-234;v.vygotskij;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë íîâûõ ïêñ-òåõíîëîãèé;
Êàâðàéñêèé;4c0/10.jpg;Ðóñëàí;Èâàíîâè÷;ìåíåäæåð;r.kavrajskij@example.com;04.03.1983;M;8 (495) 127-84-43;47;8 (495) 167-47-45;374-463;r.kavrajskij;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë íîâûõ ïêñ-òåõíîëîãèé;
Ìåùåðÿêîâà;cbd/AX073382.jpg;Àëëà;Ñòàíèñëàâîâíà;ìåíåäæåð;a.mescheryakova@example.com;05.03.1980;M;8 (495) 735-84-34;365;8 (495) 367-85-23;358-473-235;a.mescheryakova;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë  ñèñòåìíûõ ðåøåíèé;
Òèìî÷êèí;cdd/42-17012767.gif;Áîðèñ;Àëåêñååâè÷;ìåíåäæåð;b.timochkin@example.com;06.03.1983;M;8 (495) 273-45-27;82;8 (495) 153-63-12;153-643-123;b.timochkin;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë  ñèñòåìíûõ ðåøåíèé;
Ðîäèí;99f/12.jpg;Íèêèòà;Êîíñòàíòèíîâè÷;ìåíåäæåð;n.rodin@example.com;07.03.1986;M;8 (495) 262-874-854;245;8 (495) 954-36-85;724-834-873;n.rodin;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë  ñèñòåìíûõ ðåøåíèé;
Âèòþòíåâ;c15/13.jpg;Íèêèòà;Ðîìàíîâè÷;ìåíåäæåð;n.vityutnev@example.com;08.03.1979;M;8 (495) 327-73-65;364;8 (495) 262-52-35;347-867;n.vityutnev;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë  ñèñòåìíûõ ðåøåíèé;
ßöêîé;28f/14.jpg;Ìàêñèì;Âàäèìîâè÷;ìåíåäæåð;m.yackoj@example.com;09.03.1985;M;8 (495) 387-74-74;35;8 (495) 364-75-22;364-243-645;m.yackoj;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;Îòäåë  ñèñòåìíûõ ðåøåíèé;
